instance_name,feature_num_libraries,feature_total_books_scanned,feature_avg_books_per_library,feature_min_books_per_library,feature_max_books_per_library,feature_first_library,feature_last_library,feature_unsigned_libraries,feature_unscanned_books,algo_greedy_approach,algo_ils,algo_optimizational_problem,algo_ghc,algo_rt
B600k_L40_D540 (Internet Archive Bulk Scanning),40,305111,7627.775,2653,14621,29,16,0,294889,46479775,46479775,12010,46479775,46479775
B300k_L95_D190,8,56292,7036.5,5317,9010,29,82,87,243708,37991254,37991254,65812,18089624,37991254
B1400k_L125_D250,9,72856,8095.111111111111,6541,9317,24,58,116,1327144,56388066,56388066,176731,20246252,56388066
B96_L6_D14,2,70,35.0,23,47,4,1,4,26,4394,4394,4394,3307,4394
B5k_L90_D21,11,117,10.636363636363637,5,15,81,78,79,4883,3394,3597,3582,292,3553
B2000k_L300_D3.6k (Deutsche Digitale Bibliothek),142,1280594,9018.267605633802,1755,19766,112,169,158,719406,647095072,647091427,159343,438666237,647095072
B80k_L75_D150,8,42356,5294.5,2897,8475,74,24,67,37644,26758933,28097194,26758933,8652915,27790879
B99_L7_D16,2,68,34.0,21,47,0,3,5,31,4438,4438,4438,4326,4438
B300_L11_D20,2,178,89.0,39,139,10,5,9,122,20683,22085,20683,15817,22085
B800k_L110_D220,9,73971,8219.0,6474,9804,63,38,101,726029,54796696,55675544,205625,11247035,54969764
B600k_L105_D210,8,67975,8496.875,6648,9986,26,24,97,532025,49265752,50550719,268794,14676685,49613976
e_so_many_books,148,29340,198.24324324324326,9,398,602,85,852,70660,5026488,5051738,4699853,757769,5067481
B70_L8_D7,3,54,18.0,5,33,0,1,5,16,2100,2100,1962,1694,2100
B90k_L850_D21,1,39,39.0,39,39,123,123,849,89961,828,869,828,569,869
B18k_L50_D100,6,12710,2118.3333333333335,1397,3687,25,44,44,5290,7137104,7137104,7050506,4862006,7137104
B500_L14_D18,2,285,142.5,99,186,12,13,12,215,48465,48465,48465,27545,48465
d_tough_choices,15000,77362,5.157466666666667,1,14,162,20734,15000,1238,5028530,5028530,4994210,4109300,5028530
B80_L7_D9,2,43,21.5,19,24,5,6,5,37,2107,2191,1996,1470,2191
B100_L9_D18,3,79,26.333333333333332,12,40,6,2,6,21,4916,4916,4656,1942,4916
B1800k_L135_D270,9,81825,9091.666666666666,8582,9647,83,79,126,1718175,65409034,68189000,55987,18522692,65697531
B9k_L40_D80,5,6626,1325.2,396,2059,3,34,35,2374,3476231,3476231,3275240,2749594,3476231
B50k_L400_D28,5,462,92.4,81,100,27,26,395,49538,121715,121715,118890,32597,121715
B1200k_L120_D240,9,78546,8727.333333333334,6874,9482,100,76,111,1121454,58930008,60428048,316446,20609813,58930008
c_incunabula,1284,18440,14.361370716510903,7,20,1949,3520,8716,81560,5689822,5689822,5675932,870640,5689822
B35k_L60_D120,7,21208,3029.714285714286,1512,5803,1,10,53,13792,12544648,12544648,12505824,5965197,12864753
B12k_L45_D90,5,8136,1627.2,928,2659,26,43,40,3864,4357506,4685628,4357506,3008739,4685628
B150k_L92_730D (New York Public Library System),62,115538,1863.516129032258,377,4807,24,38,30,34462,29743592,29743592,85897,25896360,29743592
B2.5k_L25_D50,4,1668,417.0,123,704,5,0,21,832,668499,671491,668499,445791,668499
B180k_L85_D170,8,55877,6984.625,4454,8733,5,41,77,124123,36714881,36714881,192996,20660718,36754991
B1000k_L115_D230,9,75086,8342.888888888889,6194,9887,38,96,106,924914,56328452,56328452,137504,16328723,57027193
B50_L5_D4,2,25,12.5,8,17,3,0,3,25,581,581,562,240,581
B150_L8_D10,2,94,47.0,28,66,3,1,6,56,8481,8481,7988,3520,8481
B4k_L30_D60,5,3006,601.2,255,970,7,28,25,994,1375704,1383173,1329180,618506,1383173
B95k_L2k_D28,27,2500,92.5925925925926,81,100,1771,477,1973,92500,1366194,1366194,1364177,387860,1366194
B100k_L600_D28,3,238,79.33333333333333,79,80,570,457,597,99762,128456,129326,128456,30230,129326
B2000k_L140_D280,9,75773,8419.222222222223,6572,9641,83,54,131,1924227,60605984,60605984,216545,36106643,60605984
B98_L4_D15,1,48,48.0,48,48,3,3,3,50,3552,3552,3552,2691,3552
B95_L5_D12,2,64,32.0,15,49,3,1,3,31,3770,3898,3770,3277,3898
B1k_L18_D17,2,414,207.0,64,350,5,17,16,586,127579,127579,111576,31969,127579
B25k_L55_D110,6,16616,2769.3333333333335,1594,4985,8,12,49,8384,9572044,9695679,9572044,3994876,9651370
B6k_L35_D70,6,4715,785.8333333333334,194,1638,32,25,29,1285,2307803,2307803,2280119,956152,2307803
B2.5k_L3_D90 (Appalachian Regional Project),3,1549,516.3333333333334,305,835,0,1,0,951,78464,78464,78464,78464,78464
B450k_L100_D200,8,64530,8066.25,5985,9351,13,58,92,385470,45174796,45174796,123677,15854424,45531279
b_read_on,90,58229,646.9888888888889,19,999,38,1,10,41771,5822900,5822900,5822900,4126100,5822900
B60_L6_D6,2,24,12.0,8,16,2,5,4,36,900,900,934,738,900
B1600k_L130_D260,9,75260,8362.222222222223,6751,9251,96,71,121,1524740,59410375,59410375,122934,23750680,59410375
B90_L6_D11,2,36,18.0,16,20,5,2,4,54,1770,2567,2442,1959,2567
B48k_L65_D130,7,27908,3986.8571428571427,2182,6761,53,39,58,20092,16982044,17517284,16982044,6592398,17466344
B18k_L4_D365 (Oxford Bodleian Archives),4,12272,3068.0,1498,4894,3,1,0,5728,7979867,7979867,7979867,7979867,7979867
B750_L20_D14,1,285,285.0,285,285,18,18,19,465,65520,65520,65520,30472,65520
