instance_name,feature_num_books,feature_num_libraries,feature_num_days,feature_avg_book_score,feature_stddev_book_score,feature_avg_books_per_library,feature_avg_signup_time,feature_avg_books_shipped_per_day,algo_greedy_approach,algo_ils,algo_rt,algo_optimizational_problem,algo_ghc,algo_genetic_algorithm
B600k_L40_D540 (Internet Archive Bulk Scanning),600000,40,540,152.4,85.47,10570.15,2,1652.33,46479775,46479775,46479775,46479775,46479775,46479775
B300k_L95_D190,300000,95,190,674.76,188.12,5052.35,34.62,1331.29,37991254,37991254,37991254,37991254,18089624,37991254
B1400k_L125_D250,1400000,125,250,774.96,130.24,5886.89,41.9,1563.41,56388066,56388066,56388066,57175621,20246252,57078437
B96_L6_D14,96,6,14,61.59,23.68,35.33,6.67,14.83,4394,4394,4394,4394,3307,4394
B5k_L90_D21,5000,90,21,30.25,11.89,8.56,7.62,10.31,3394,3597,3553,3582, 292,3597
B2000k_L300_D3.6k (Deutsche Digitale Bibliothek),2000000,300,3650,505.1,286.24,10788.31,34.87,1098.24,647095072,647091427,647095072,647212305, 438666237,647212305
B80k_L75_D150,80000,75,150,632.05,203.52,4722.79,32.13,787.19,26758933,28097194,27790879,27744276, 8652915,28097194
B99_L7_D16,99,7,16,64.84,21.01,41.14,9.14,18.86,4438,4438,4438,4438, 4326,4438
B300_L11_D20,300,11,20,114.82,48.77,100.09,13.82,39.18,20683,22085,22085,20683,15817,22085
B800k_L110_D220,800000,110,220,739.94,150.45,5412.88,37.65,1569.25,54796696,55675544,54969764,55713225,11247035,55767400
B600k_L105_D210,600000,105,210,725.13,159.18,5203.38,37.77,1585.01,49265752,50550719,49613976,50550719,14676685,50653808
e_so_many_books,100000,1000,200,125.49,72.02,491.94,5.43,1.49,5026488,5051738,5067481,4729453,757769,5104948
B70_L8_D7,70,8,7,39.84,18.53,24,3,10.12,2100,2100,2100,2067,1694,2100
B90k_L850_D21,90000,850,21,19.97,6.04,29.63,17.51,54.16,828,869,869,833,569,869
B18k_L50_D100,18000,50,100,560.11,220.21,2328.18,26,381.16,7137104,7137104,7137104,7137104, 4862006,7137104
